No.,  value_difference,  order difference, matrix difference, 
0,0.011129801990561402,5.0,tensor(3.5917, dtype=torch.float64)
1,0.009513570274242775,0.0,tensor(3.0672, dtype=torch.float64)
2,0.028149105809362588,2.5,tensor(5.0851, dtype=torch.float64)
3,0.015172851067383815,0.0,tensor(5.3475, dtype=torch.float64)
4,0.011464183661543866,0.0,tensor(2.1511, dtype=torch.float64)
5,0.012799022404904147,0.0,tensor(2.1976, dtype=torch.float64)
6,0.020719428495008477,3.0,tensor(7.0562, dtype=torch.float64)
7,0.017638273342000778,0.0,tensor(0.9827, dtype=torch.float64)
8,0.027383772098277796,3.0,tensor(2.0835, dtype=torch.float64)
9,0.014971018412722872,2.0,tensor(4.1196, dtype=torch.float64)
10,0.027598672377681037,3.0,tensor(2.0863, dtype=torch.float64)
11,0.013371670775066256,2.0,tensor(2.1772, dtype=torch.float64)
12,0.01839119604958883,7.5,tensor(2.8304, dtype=torch.float64)
13,0.011586040724382773,2.0,tensor(2.0434, dtype=torch.float64)
14,0.02353712195474049,4.5,tensor(2.5069, dtype=torch.float64)
15,0.029656258120522066,0.0,tensor(3.6658, dtype=torch.float64)
16,0.013738482806124231,2.0,tensor(2.7655, dtype=torch.float64)
17,0.01833587910481026,2.0,tensor(5.1154, dtype=torch.float64)
18,0.02479485700772274,6.5,tensor(2.9579, dtype=torch.float64)
19,0.040438947798130925,4.0,tensor(4.8151, dtype=torch.float64)
20,0.013139603585282716,2.0,tensor(1.7291, dtype=torch.float64)
