No.,  value_difference,  order difference, matrix difference, 
0,0.034754478885484816,6.5,tensor(2.8903, dtype=torch.float64)
1,0.016891795161272125,0.0,tensor(4.1855, dtype=torch.float64)
2,0.01969303826509507,2.0,tensor(1.9339, dtype=torch.float64)
3,0.026689255199488508,0.0,tensor(5.4511, dtype=torch.float64)
4,0.03057232862521644,2.0,tensor(4.1401, dtype=torch.float64)
5,0.02635674764521145,3.0,tensor(3.6070, dtype=torch.float64)
6,0.023712949838297817,2.0,tensor(5.0284, dtype=torch.float64)
7,0.029744133375009207,0.0,tensor(3.3306, dtype=torch.float64)
8,0.025690574548569822,4.0,tensor(3.4883, dtype=torch.float64)
9,0.02898662555842411,4.5,tensor(3.4579, dtype=torch.float64)
10,0.015936798232575,2.0,tensor(2.3702, dtype=torch.float64)
11,0.03680917667408869,4.0,tensor(3.5751, dtype=torch.float64)
12,0.05916578857210493,2.0,tensor(5.3855, dtype=torch.float64)
13,0.036586781561438506,4.0,tensor(3.5643, dtype=torch.float64)
14,0.02423874638588925,0.0,tensor(5.5252, dtype=torch.float64)
15,0.04028396753818344,2.5,tensor(5.5904, dtype=torch.float64)
16,0.014250950752471021,2.0,tensor(1.5989, dtype=torch.float64)
17,0.010234443975671567,2.0,tensor(3.2252, dtype=torch.float64)
18,0.01544929652941913,2.5,tensor(2.0549, dtype=torch.float64)
19,0.01793095763083405,3.0,tensor(6.5824, dtype=torch.float64)
20,0.016228392764362626,2.5,tensor(2.0607, dtype=torch.float64)
