No.,  value_difference,  order difference, matrix difference, 
0,0.01368340426834749,2.0,tensor(2.4984, dtype=torch.float64)
1,0.01232891023964855,5.0,tensor(2.5169, dtype=torch.float64)
2,0.020211034237662896,7.5,tensor(2.1347, dtype=torch.float64)
3,0.028227320299261914,2.0,tensor(2.7094, dtype=torch.float64)
4,0.01714888860093478,4.0,tensor(4.1713, dtype=torch.float64)
5,0.023341464415523636,2.0,tensor(2.3002, dtype=torch.float64)
6,0.014823210981420325,2.0,tensor(2.5945, dtype=torch.float64)
7,0.007198145801972332,3.0,tensor(4.0840, dtype=torch.float64)
8,0.011952041503810892,4.5,tensor(2.3043, dtype=torch.float64)
9,0.017026407856502238,0.0,tensor(2.0826, dtype=torch.float64)
10,0.02391975499702002,4.0,tensor(6.0683, dtype=torch.float64)
11,0.015359768130265917,0.0,tensor(3.2859, dtype=torch.float64)
12,0.018172857215930645,0.0,tensor(5.8842, dtype=torch.float64)
13,0.00986199592006351,2.0,tensor(2.0957, dtype=torch.float64)
14,0.014713732566656961,0.0,tensor(2.7848, dtype=torch.float64)
15,0.017181241126908768,0.0,tensor(6.8877, dtype=torch.float64)
16,0.013565391131077967,3.0,tensor(3.5921, dtype=torch.float64)
17,0.008392444509918169,3.0,tensor(2.3604, dtype=torch.float64)
18,0.01174233413552907,2.5,tensor(1.8271, dtype=torch.float64)
19,0.014767372919154323,4.5,tensor(3.7694, dtype=torch.float64)
20,0.027680097595157167,4.0,tensor(2.8189, dtype=torch.float64)
